id,position,label,description,start_date,term,end_date,replaces,replaced_by
Q16196527,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16196584,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16196632,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16197043,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16197097,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16197150,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16199703,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16199711,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16200074,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16205730,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16206282,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16207202,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16207710,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16211651,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16212523,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16213460,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16213580,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16213626,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16213631,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16213795,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16213952,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214062,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214077,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214078,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214101,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214108,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214167,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
Q16214437,Q17599130,Member of the National Assembly of Tanzania,"","",,,,
